driver_id,driver_db_id,cycleRule,timezone,splitShiftActive,driveSeconds,onDutySeconds,cycleSeconds,remainingDriveMinutes,remainingShiftMinutes,breakRemainingMinutes,violation active,last7Days violation,violation patterns,last7Days pti_violations,pti_violation patterns,speed,latitude,longitude,Address,dataDate
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,1815,17163,1815,136,316,0,[0],0,[],1,['1'],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:10:01.042
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,1055928,0,0,0,0,[0],0,[],0,[],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:10:02.476
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,969529,0,0,0,0,[0],0,[],0,[],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:10:03.900
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,883130,0,0,0,0,[0],0,[],0,[],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:10:05.191
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,796731,0,0,0,0,[0],0,[],0,[],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:10:06.435
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,710332,0,0,0,0,[0],0,[],0,[],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:10:07.351
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,623933,0,0,0,0,[0],0,[],0,[],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:10:08.458
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,537534,0,0,0,0,[0],0,[],0,[],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:10:09.643
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,147033,0,0,0,0,[0],0,[],0,[],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:30:06.677
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,60634,11115,0,0,0,[0],0,[],0,[],-122.260566,40.251754,-122.260566,"1.71 mi W Blunt, CA",2025-12-17 10:36:30.310
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,18778,13155,57637,312,355,312,[0],0,[],4,['2'],-122.301651,37.992271,-122.301651,"0.68 mi W Tara Hills, CA",2025-12-18 18:55:19.161
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,22529,2412,93925,375,505,40,[0],0,[],5,['2'],-121.74765,38.683277,-121.74765,"1.30 mi SW Woodland, CA",2025-12-19 21:35:27.519
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,61188,116867,0,0,0,[2],2,"['eleven_hour_drive', 'fourteen_hour_shift']",2,['2'],-121.74765,38.683277,-121.74765,"1.30 mi SW Woodland, CA",2025-12-20 12:39:33.508
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,147587,0,0,0,0,[0],0,[],0,[],-121.74765,38.683277,-121.74765,"1.30 mi SW Woodland, CA",2025-12-22 06:51:56.189
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,233986,0,0,0,0,[0],0,[],0,[],-121.74765,38.683277,-121.74765,"1.30 mi SW Woodland, CA",2025-12-22 09:52:38.473
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,320385,0,0,0,0,[0],0,[],0,[],-121.74765,38.683277,-121.74765,"1.30 mi SW Woodland, CA",2025-12-23 08:04:13.361
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,406784,0,0,0,0,[0],0,[],0,[],-121.74765,38.683277,-121.74765,"1.30 mi SW Woodland, CA",2025-12-24 10:27:27.804
sukhm7005,68f2bbb306e5f22a1c963c44,USA Property 70 Hour / 8 Day,America/Los_Angeles,False,0,486963,0,0,0,0,[0],0,[],0,[],-121.74765,38.683277,-121.74765,"1.30 mi SW Woodland, CA",2025-12-25 09:22:10.925
